Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,Document Type,Publication Stage,Access Type,Source,EID
"Maitre M., Kirkbride K.P., Horder M., Roux C., Beavis A.","57192155063;56337473100;57113201600;7202017940;7007045269;","Current perspectives in the interpretation of gunshot residues in forensic science: A review",2017,"Forensic Science International","270",,,"1","11",,19,"10.1016/j.forsciint.2016.09.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84998656243&doi=10.1016%2fj.forsciint.2016.09.003&partnerID=40&md5=72e08daa40fe2a6dc2975729496feac9","Centre for Forensic Science, University of Technology Sydney, PO Box 123 Broadway, Sydney, NSW  2007, Australia; School of Chemical and Physical Sciences, Flinders University, GPO Box 2100, Adelaide, SA  5001, Australia; Forensic Ballistics Investigation Section, Forensic Services Group, NSW Police Force, Goulburn St, Surry Hills, NSW  2010, Australia","Maitre, M., Centre for Forensic Science, University of Technology Sydney, PO Box 123 Broadway, Sydney, NSW  2007, Australia; Kirkbride, K.P., School of Chemical and Physical Sciences, Flinders University, GPO Box 2100, Adelaide, SA  5001, Australia; Horder, M., Forensic Ballistics Investigation Section, Forensic Services Group, NSW Police Force, Goulburn St, Surry Hills, NSW  2010, Australia; Roux, C., Centre for Forensic Science, University of Technology Sydney, PO Box 123 Broadway, Sydney, NSW  2007, Australia; Beavis, A., Centre for Forensic Science, University of Technology Sydney, PO Box 123 Broadway, Sydney, NSW  2007, Australia","Background; Bayes theorem; FDR; Firearm; Persistence; Transfer",,Review,"Final",,Scopus,2-s2.0-84998656243
"Tucker W., Lucas N., Seyfang K.E., Kirkbride K.P., Popelka-Filcoff R.S.","57192181789;57169935900;56957040600;56337473100;15521468200;","Gunshot residue and brakepads: Compositional and morphological considerations for forensic casework",2017,"Forensic Science International","270",,,"76","82",,5,"10.1016/j.forsciint.2016.11.024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84999736804&doi=10.1016%2fj.forsciint.2016.11.024&partnerID=40&md5=e4afa6b1db3dabe33e512b9da079f4fb","School of Chemical and Physical Sciences, Flinders University, Sturt Road, Bedford Park, 5042, Adelaide, South Australia, Australia","Tucker, W., School of Chemical and Physical Sciences, Flinders University, Sturt Road, Bedford Park, 5042, Adelaide, South Australia, Australia; Lucas, N., School of Chemical and Physical Sciences, Flinders University, Sturt Road, Bedford Park, 5042, Adelaide, South Australia, Australia; Seyfang, K.E., School of Chemical and Physical Sciences, Flinders University, Sturt Road, Bedford Park, 5042, Adelaide, South Australia, Australia; Kirkbride, K.P., School of Chemical and Physical Sciences, Flinders University, Sturt Road, Bedford Park, 5042, Adelaide, South Australia, Australia; Popelka-Filcoff, R.S., School of Chemical and Physical Sciences, Flinders University, Sturt Road, Bedford Park, 5042, Adelaide, South Australia, Australia","Brake pads; Forensic science; Gunshot residue; Particulate matter; Scanning electron microscopy; X-ray fluorescence","aluminum; antimony; barium; gunpowder; lead; Article; brake pad; chemical composition; concentration (parameters); controlled study; general device; limit of detection; particle size; priority journal; scanning electron microscopy; South Australia; surface property; X ray fluorescence",Article,"Final",,Scopus,2-s2.0-84999736804
"Berk R., Horn A.","16648006100;57194191198;","Nyclad ammunition, A case for trace?",2017,"AFTE Journal","49","2",,"66","68",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019057238&partnerID=40&md5=0cc9c2c51e031c296e46a9876dbdf210","Illinois State Police, Forensic Science Center, Chicago, United States; Illinois State Police, Metro-East Forensic Science Laboratory, United States","Berk, R., Illinois State Police, Forensic Science Center, Chicago, United States; Horn, A., Illinois State Police, Metro-East Forensic Science Laboratory, United States","38 Special; Cobalt blue; Gunshot residue; Infra-red spectroscopy (IR); Nyclad ammunition; Nylon 11; Revolver; Scanning electron microscopy (SEM); Trace evidence",,Article,"Final",,Scopus,2-s2.0-85019057238
"Pachaly J.R., Tramontin R.S., Quessada A.M., Belettini S.T., De Paula D.S., De Conti J.B., Vasconcelos R.D., Giovanelli D.F., Voltarelli-Pachaly E.M.","26539002900;57204502006;39062042000;56731086600;57191590815;21740693200;57204504198;57204499357;57191595504;","Surgical treatment of ballistic oral and facial lesions in a Pit Bull dog: A case report [Tratamento cirúrgico de lesões orais e faciais causadas por projétil balístico em cão da raça Pit Bull: relato de caso]",2017,"Revista Brasileira de Medicina Veterinaria","39","2",,"138","145",,,"10.29374/2527-2179.bjvm024916","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055800102&doi=10.29374%2f2527-2179.bjvm024916&partnerID=40&md5=960ce7deb1a0bd1ce2cadb21f0730ef9","Programa de Pós-graduação em Ciência Animal-PPGCA, Universidade Paranaense-UNIPAR, Praça Mascarenhas de Moraes, 4282, Zona III, Umuarama (PR), CEP 87502-210, Brazil; Instituto Brasileiro de Especialidades em Medicina Veterinária - ESPECIALVET, Maringá, PR, Brazil; Programa de Pós-graduação em Ciência Animal-PPGCA, Universidade Paranaense-UNIPAR, Umuarama, PR, Brazil; Curso de Medicina Veterinária, Universidade Paranaense-UNIPAR, Umuarama, PR, Brazil; Curso de Medicina Veterinária, Universidade Estadual de Maringá-UEM, Umuarama, PR, Brazil","Pachaly, J.R., Programa de Pós-graduação em Ciência Animal-PPGCA, Universidade Paranaense-UNIPAR, Praça Mascarenhas de Moraes, 4282, Zona III, Umuarama (PR), CEP 87502-210, Brazil, Instituto Brasileiro de Especialidades em Medicina Veterinária - ESPECIALVET, Maringá, PR, Brazil; Tramontin, R.S., Programa de Pós-graduação em Ciência Animal-PPGCA, Universidade Paranaense-UNIPAR, Umuarama, PR, Brazil; Quessada, A.M., Programa de Pós-graduação em Ciência Animal-PPGCA, Universidade Paranaense-UNIPAR, Praça Mascarenhas de Moraes, 4282, Zona III, Umuarama (PR), CEP 87502-210, Brazil; Belettini, S.T., Programa de Pós-graduação em Ciência Animal-PPGCA, Universidade Paranaense-UNIPAR, Umuarama, PR, Brazil, Curso de Medicina Veterinária, Universidade Paranaense-UNIPAR, Umuarama, PR, Brazil; De Paula, D.S., Curso de Medicina Veterinária, Universidade Paranaense-UNIPAR, Umuarama, PR, Brazil; De Conti, J.B., Curso de Medicina Veterinária, Universidade Estadual de Maringá-UEM, Umuarama, PR, Brazil; Vasconcelos, R.D., Instituto Brasileiro de Especialidades em Medicina Veterinária - ESPECIALVET, Maringá, PR, Brazil; Giovanelli, D.F., Instituto Brasileiro de Especialidades em Medicina Veterinária - ESPECIALVET, Maringá, PR, Brazil; Voltarelli-Pachaly, E.M., Instituto Brasileiro de Especialidades em Medicina Veterinária - ESPECIALVET, Maringá, PR, Brazil","Canine; Trauma; Veterinary dentistry; Veterinary forensic investigation; Veterinary oral and maxillofacial surgery","Article; bulldog; follow up; gunshot injury; maxillofacial surgery; nonhuman; veterinary medicine",Article,"Final",Open Access,Scopus,2-s2.0-85055800102
"Goudsmits E., Sharples G.P., Birkett J.W.","56926734200;7003677879;7004014784;","Preliminary classification of characteristic organic gunshot residue compounds",2016,"Science and Justice","56","6",,"421","425",,10,"10.1016/j.scijus.2016.06.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979695911&doi=10.1016%2fj.scijus.2016.06.007&partnerID=40&md5=fc48d30e8e1ee29b4dea7eddc4354c17","School of Pharmacy and Biomolecular Sciences, Faculty of Science, Liverpool John Moores University, Byrom Street, Liverpool, L3 3AF, United Kingdom","Goudsmits, E., School of Pharmacy and Biomolecular Sciences, Faculty of Science, Liverpool John Moores University, Byrom Street, Liverpool, L3 3AF, United Kingdom; Sharples, G.P., School of Pharmacy and Biomolecular Sciences, Faculty of Science, Liverpool John Moores University, Byrom Street, Liverpool, L3 3AF, United Kingdom; Birkett, J.W., School of Pharmacy and Biomolecular Sciences, Faculty of Science, Liverpool John Moores University, Byrom Street, Liverpool, L3 3AF, United Kingdom","Ballistics; Characteristic compounds; Classification system; Forensic science; Gunshot residue; Organic gunshot residue","2,4 dinitrotoluene; diphenylamine; ethyl centralite; glyceryl trinitrate; gunpowder; organic gunshot residue; propellant; trinitrotoluene; unclassified drug; analytic method; Article; chemical analysis; chemical composition; classification; forensic science",Article,"Final",,Scopus,2-s2.0-84979695911
"Cook M.","57169595000;","Gunshot residue contamination of the hands of police officers following start-of-shift handling of their firearm",2016,"Forensic Science International","269",,,"56","62",,5,"10.1016/j.forsciint.2016.11.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995792979&doi=10.1016%2fj.forsciint.2016.11.002&partnerID=40&md5=87b0d68e1b73c61c6c7d3e704479a5cc","Forensic Science South Australia (FSSA), GPO Box 2790, Adelaide, South Australia  5001, Australia","Cook, M., Forensic Science South Australia (FSSA), GPO Box 2790, Adelaide, South Australia  5001, Australia","Firearms; GSR; GSR contamination; Gunshot residue; Hand-gun; Police","carbon; cobalt; gold; hand sanitizer; rhodium; self drying hand wash; unclassified drug; antimony; barium derivative; barium nitrate; lead; nitric acid derivative; Article; contamination; energy dispersive X ray spectroscopy; female; firearm; gunshot residue contamination; hand grip; hand washing; human; male; police; priority journal; chemistry; hand; hand disinfection; protective glove; skin; touch; Antimony; Barium Compounds; Female; Firearms; Gloves, Protective; Hand; Hand Disinfection; Humans; Lead; Male; Nitrates; Police; Skin; Touch",Article,"Final",,Scopus,2-s2.0-84995792979
"Hazeeq M., Nataraja Moorthy T., Harun R.B., Daud M.Z.","57192644784;56582644900;57192646038;57192640054;","Experimental study of bullet holes on aluminium targets fired with 9 mm pistol and 9 mm submachine gun (SMG) at varying distances",2016,"Malaysian Applied Biology","45","2",,"163","167",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006986764&partnerID=40&md5=3f4eed53a22acb765af5aef13b1fdf72","Department of Diagnostics and Allied Health Sciences, FHLS, Management and Science University, Shah Alam, Selangor, Malaysia; Department of Forensic Sciences, Faculty of Health and Life Sciences, Management and Science University, Shah Alam, Selangor, Malaysia; Ballistics Division, Polis Di Raja Malaysia, Bukit Aman, Kuala Lumpur, Malaysia; Management and Science University, Shah Alam, Selangor, Malaysia","Hazeeq, M., Department of Diagnostics and Allied Health Sciences, FHLS, Management and Science University, Shah Alam, Selangor, Malaysia; Nataraja Moorthy, T., Department of Forensic Sciences, Faculty of Health and Life Sciences, Management and Science University, Shah Alam, Selangor, Malaysia; Harun, R.B., Ballistics Division, Polis Di Raja Malaysia, Bukit Aman, Kuala Lumpur, Malaysia; Daud, M.Z., Management and Science University, Shah Alam, Selangor, Malaysia","9 mm pistol; 9 mm SMG; Aluminium targets; Bullet holes; Forensic science",,Article,"Final",,Scopus,2-s2.0-85006986764
"Burnett B.R.","35564659500;","The Effect of Skin Debris on Gunshot Residue Sampling and Detection",2016,"Journal of Forensic Sciences","61","6",,"1632","1638",,2,"10.1111/1556-4029.13149","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979779430&doi=10.1111%2f1556-4029.13149&partnerID=40&md5=74b11daeb03c8e677b75904773fee4be","Meixa Tech, P.O. Box 844, Cardiff, CA  92007, United Kingdom","Burnett, B.R., Meixa Tech, P.O. Box 844, Cardiff, CA  92007, United Kingdom","backscatter electron imaging; bleach; forensic science; gunshot residue; scanning electron microscopy; skin debris","gunshot injury; hand; human; pathology; scanning electron microscopy; skin; specimen handling; Hand; Humans; Microscopy, Electron, Scanning; Skin; Specimen Handling; Wounds, Gunshot",Article,"Final",,Scopus,2-s2.0-84979779430
"Stevens B., Bell S., Adams K.","57192428499;55423348700;57192436419;","Initial evaluation of inlet thermal desorption GC–MS analysis for organic gunshot residue collected from the hands of known shooters",2016,"Forensic Chemistry","2",,,"55","62",,1,"10.1016/j.forc.2016.10.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006341534&doi=10.1016%2fj.forc.2016.10.001&partnerID=40&md5=6988527a18b3d9d63a999b9984f711c5","C. Eugene Bennett Department of Chemistry, West Virginia University, 1600 University Avenue, Oglebay Hall Room 208, Morgantown, WV  26506, United States; C. Eugene Bennett Department of Chemistry and the Department Forensic and Investigative Sciences, West Virginia University, 1600 University Avenue, Oglebay Hall Room 208, Morgantown, WV  26506, United States","Stevens, B., C. Eugene Bennett Department of Chemistry, West Virginia University, 1600 University Avenue, Oglebay Hall Room 208, Morgantown, WV  26506, United States; Bell, S., C. Eugene Bennett Department of Chemistry and the Department Forensic and Investigative Sciences, West Virginia University, 1600 University Avenue, Oglebay Hall Room 208, Morgantown, WV  26506, United States; Adams, K., C. Eugene Bennett Department of Chemistry, West Virginia University, 1600 University Avenue, Oglebay Hall Room 208, Morgantown, WV  26506, United States","Diphenylamine; Firearm discharge residue (FDR); Organic gunshot residue (OGSR); Thermal desorption (TD); Thermal separation probe",,Article,"Final",,Scopus,2-s2.0-85006341534
"Smijs T., Galli F., van Asten A.","6603214429;57191898227;56099430100;","Forensic potential of atomic force microscopy",2016,"Forensic Chemistry","2",,,"93","104",,4,"10.1016/j.forc.2016.10.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006378380&doi=10.1016%2fj.forc.2016.10.005&partnerID=40&md5=c961a79733106eafa4fe64c35e7ccc08","The Netherlands Forensic Institute, The Hague, Netherlands; Leiden Institute of Physics, Leiden University, Leiden, Netherlands; van ‘t Hoff Institute for Molecular Sciences, University of Amsterdam, Amsterdam, Netherlands; CLHC, Amsterdam Center for Forensic Science and Medicine, University of Amsterdam, Amsterdam, Netherlands","Smijs, T., The Netherlands Forensic Institute, The Hague, Netherlands; Galli, F., Leiden Institute of Physics, Leiden University, Leiden, Netherlands; van Asten, A., The Netherlands Forensic Institute, The Hague, Netherlands, van ‘t Hoff Institute for Molecular Sciences, University of Amsterdam, Amsterdam, Netherlands, CLHC, Amsterdam Center for Forensic Science and Medicine, University of Amsterdam, Amsterdam, Netherlands","Atomic force; Blood; Crime; Explosives; Fingermark; Forensic; Forgery; Textile",,Review,"Final",,Scopus,2-s2.0-85006378380
"Costa R.A., Motta L.C., Destefani C.A., Rodrigues R.R.T., do Espírito Santo K.S., Aquije G.M.F.V., Boldrini R., Athayde G.P.B., Dias M.T.W.D.C., Romão W.","56825047100;56179616200;56086468100;56949906300;57190277852;56075083100;57190273371;56587845000;57190282453;57198083811;","Gunshot residues (GSR) analysis of clean range ammunition using SEM/EDX, colorimetric test and ICP-MS: A comparative approach between the analytical techniques",2016,"Microchemical Journal","129",,,"339","347",,5,"10.1016/j.microc.2016.07.017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978924571&doi=10.1016%2fj.microc.2016.07.017&partnerID=40&md5=9f19bb6bc33f7fce74b6392b8339db58","Departamento de Química, Universidade Federal do Espírito Santo, Vitória, ES  29075-910, Brazil; Laboratório de Química Legal, Superintendência de Polícia Técnico-Científica da Polícia Civil do Estado do Espírito Santo, Rua José Farias s/n, Santa Lúcia, Vitória, ES  CEP: 29045-300, Brazil; Instituto Federal do Espírito Santo, Vila Velha, ES  29106-010, Brazil; Instituto Federal do Espírito Santo, Vitória, ES  29040-780, Brazil","Costa, R.A., Departamento de Química, Universidade Federal do Espírito Santo, Vitória, ES  29075-910, Brazil; Motta, L.C., Departamento de Química, Universidade Federal do Espírito Santo, Vitória, ES  29075-910, Brazil; Destefani, C.A., Laboratório de Química Legal, Superintendência de Polícia Técnico-Científica da Polícia Civil do Estado do Espírito Santo, Rua José Farias s/n, Santa Lúcia, Vitória, ES  CEP: 29045-300, Brazil; Rodrigues, R.R.T., Departamento de Química, Universidade Federal do Espírito Santo, Vitória, ES  29075-910, Brazil; do Espírito Santo, K.S., Departamento de Química, Universidade Federal do Espírito Santo, Vitória, ES  29075-910, Brazil; Aquije, G.M.F.V., Instituto Federal do Espírito Santo, Vila Velha, ES  29106-010, Brazil, Instituto Federal do Espírito Santo, Vitória, ES  29040-780, Brazil; Boldrini, R., Instituto Federal do Espírito Santo, Vitória, ES  29040-780, Brazil; Athayde, G.P.B., Departamento de Química, Universidade Federal do Espírito Santo, Vitória, ES  29075-910, Brazil; Dias, M.T.W.D.C., Departamento de Química, Universidade Federal do Espírito Santo, Vitória, ES  29075-910, Brazil; Romão, W., Departamento de Química, Universidade Federal do Espírito Santo, Vitória, ES  29075-910, Brazil, Instituto Federal do Espírito Santo, Vila Velha, ES  29106-010, Brazil","Clean range ammunition; GSR; ICP-MS; SEM/EDX",,Article,"Final",,Scopus,2-s2.0-84978924571
"Lucas N., Cook M., Wallace J., Kirkbride K.P., Kobus H.","57169935900;57169595000;7402967718;56337473100;7003432475;","Quantifying gunshot residues in cases of suicide: Implications for evaluation of suicides and criminal shootings",2016,"Forensic Science International","266",,,"289","298",,5,"10.1016/j.forsciint.2016.06.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976523073&doi=10.1016%2fj.forsciint.2016.06.006&partnerID=40&md5=6c2fe3a450cbeb4ffa35cd02aacd04d0","Flinders University, Bedford ParkSA, Australia; Forensic Science SA, Divett Place, Adelaide, SA, Australia; Retired Forensic Scientist, Northern Ireland Forensic Science Laboratory, United Kingdom","Lucas, N., Flinders University, Bedford ParkSA, Australia; Cook, M., Forensic Science SA, Divett Place, Adelaide, SA, Australia; Wallace, J., Retired Forensic Scientist, Northern Ireland Forensic Science Laboratory, United Kingdom; Kirkbride, K.P., Flinders University, Bedford ParkSA, Australia; Kobus, H., Flinders University, Bedford ParkSA, Australia","Forensic science; Gunshot residue; Persistence; Scanning electron microscopy; Suicide","aluminum; antimony; barium; gunpowder; lead; silicon; tin; analytic method; Article; chemical composition; controlled study; energy dispersive X ray spectrometry; firearm; firearm caliber; gunshot injury; legal evidence; priority journal; quantitative analysis; residue analysis; scanning electron microscopy; South Australia; suicide; weapon; forensic science; human; procedures; standards; statistics and numerical data; Firearms; Forensic Sciences; Humans; South Australia; Suicide; Wounds, Gunshot",Article,"Final",,Scopus,2-s2.0-84976523073
"Gassner A.-L., Ribeiro C., Kobylinska J., Zeichner A., Weyermann C.","24764836500;57190225860;57194836574;7005860122;23978745200;","Organic gunshot residues: Observations about sampling and transfer mechanisms",2016,"Forensic Science International","266",,,"369","378",,12,"10.1016/j.forsciint.2016.06.029","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978472932&doi=10.1016%2fj.forsciint.2016.06.029&partnerID=40&md5=e15bf1e782c43ee03c8ece4fed37b377","Institut de Police Scientifique, University of Lausanne, Batochime, Lausanne, 1015, Switzerland; Forensic science consultant, Jerusalem, Israel","Gassner, A.-L., Institut de Police Scientifique, University of Lausanne, Batochime, Lausanne, 1015, Switzerland; Ribeiro, C., Institut de Police Scientifique, University of Lausanne, Batochime, Lausanne, 1015, Switzerland; Kobylinska, J., Institut de Police Scientifique, University of Lausanne, Batochime, Lausanne, 1015, Switzerland; Zeichner, A., Forensic science consultant, Jerusalem, Israel; Weyermann, C., Institut de Police Scientifique, University of Lausanne, Batochime, Lausanne, 1015, Switzerland","Firearm discharge residue; LC–MS; Persistence; Sample collection; Stub; Swab","stabilizing agent; adult; ammunition; Article; clothing; comparative study; contamination; controlled study; face; female; firearm; hair; hand; human; human experiment; liquid chromatography; mass spectrometry; mechanics; organic gunshot residue; priority journal; residue analysis; room temperature; sampling; secondary transfer; skin surface; storage; stub; swab; weapon; chemistry; forensic science; gunshot injury; standards; Clothing; Firearms; Forensic Sciences; Hair; Humans; Mass Spectrometry; Wounds, Gunshot",Article,"Final",,Scopus,2-s2.0-84978472932
"Gallidabino M., Weyermann C.","36135414600;23978745200;","Chang KH, Yew CH, Abdullah AFL. Study on the behaviors of gunshot residues from spent cartridges by headspace solid-phase microextraction–gas chromatographic techniques. J Forensic Sci 2015;60(4):869–77.",2016,"Journal of Forensic Sciences","61","5",,"1409","1410",,,"10.1111/1556-4029.13167","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84986882886&doi=10.1111%2f1556-4029.13167&partnerID=40&md5=86d46ab9de6d22d53ca0e9b88f95c79c","Institut de Police Scientifique, École des Sciences Criminelles, University of Lausanne, Bâtiment Batochime, Lausanne-Dorigny, 1015, Switzerland","Gallidabino, M., Institut de Police Scientifique, École des Sciences Criminelles, University of Lausanne, Bâtiment Batochime, Lausanne-Dorigny, 1015, Switzerland; Weyermann, C., Institut de Police Scientifique, École des Sciences Criminelles, University of Lausanne, Bâtiment Batochime, Lausanne-Dorigny, 1015, Switzerland",,,Note,"Final",,Scopus,2-s2.0-84986882886
"Giraudo C., Fais P., Pelletti G., Viero A., Miotto D., Boscolo-Berto R., Viel G., Montisci M., Cecchetto G., Ferrara S.D.","36645827200;36552190300;57035455200;55613229200;7007013799;27267581100;25226336000;6603171719;7005539247;7103237527;","Micro-CT features of intermediate gunshot wounds covered by textiles",2016,"International Journal of Legal Medicine","130","5",,"1257","1264",,13,"10.1007/s00414-016-1403-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975260983&doi=10.1007%2fs00414-016-1403-7&partnerID=40&md5=468231debc6308175da5e2886c608710","Department of Radiology and Nuclear Medicine, University of Vienna, Währinger Gürtel Strasse 18-20, Vienna, 1090, Austria; Legal Medicine, University of Verona, Piazzale Ludovico Antonio Scuro, 10, Verona, 37134, Italy; Legal Medicine and Toxicology, University-Hospital of Padova, Via Falloppio 50, Padova, 35121, Italy; Institute of Radiology, University-Hospital of Padova, Via Giustiniani 2, Padova, 35121, Italy","Giraudo, C., Department of Radiology and Nuclear Medicine, University of Vienna, Währinger Gürtel Strasse 18-20, Vienna, 1090, Austria; Fais, P., Legal Medicine, University of Verona, Piazzale Ludovico Antonio Scuro, 10, Verona, 37134, Italy; Pelletti, G., Legal Medicine and Toxicology, University-Hospital of Padova, Via Falloppio 50, Padova, 35121, Italy; Viero, A., Legal Medicine and Toxicology, University-Hospital of Padova, Via Falloppio 50, Padova, 35121, Italy; Miotto, D., Institute of Radiology, University-Hospital of Padova, Via Giustiniani 2, Padova, 35121, Italy; Boscolo-Berto, R., Legal Medicine and Toxicology, University-Hospital of Padova, Via Falloppio 50, Padova, 35121, Italy; Viel, G., Legal Medicine and Toxicology, University-Hospital of Padova, Via Falloppio 50, Padova, 35121, Italy; Montisci, M., Legal Medicine and Toxicology, University-Hospital of Padova, Via Falloppio 50, Padova, 35121, Italy; Cecchetto, G., Legal Medicine and Toxicology, University-Hospital of Padova, Via Falloppio 50, Padova, 35121, Italy; Ferrara, S.D., Legal Medicine and Toxicology, University-Hospital of Padova, Via Falloppio 50, Padova, 35121, Italy","Fabrics; Forensic ballistics; Gunshot residue (GSR); Gunshot wounds; Intermediate target; Micro-CT; Textiles","adult; ballistics; case control study; clothing; diagnostic imaging; gunshot injury; human; male; micro-computed tomography; middle aged; pathology; skin; young adult; Adult; Case-Control Studies; Clothing; Forensic Ballistics; Humans; Male; Middle Aged; Skin; Wounds, Gunshot; X-Ray Microtomography; Young Adult",Article,"Final",,Scopus,2-s2.0-84975260983
"Niewöhner L., Barth M., Neimke D., Latzel S., Stamouli A., Nys B., Gunaratnam L., Fries K., Uhlig S., Baldauf H.","20135268700;57189351968;14631074000;55425755200;6602670587;35080922200;6603387544;57192421342;7005635690;57192426831;","Development, design, and realization of a proficiency test for the Forensic Determination of Shooting Distances – FDSD 2015",2016,"Forensic Chemistry","1",,,"22","30",,2,"10.1016/j.forc.2016.06.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006516048&doi=10.1016%2fj.forc.2016.06.002&partnerID=40&md5=75b3e1f8373359d1beed4b1201286249","Forensic Science Institute, BKA, Wiesbaden, D-65173, Germany; Netherlands Forensic Institute, NFI, Den Haag, GB  NL-2497, Netherlands; National Institute of Criminalistics and Criminology, NICC, Bruxelles, 1120, Belgium; National Bureau of Investigation, NBI, PL 285, Vantaa, FIN-01301, Finland; Leibnitz-Institut für Neue Materialien, INM, Saarbrücken, D-66123, Germany; QuoData Ges. für Qualitätsmanagement und Statistik mbH, Preller Str. 135, Dresden, D-01187, Germany","Niewöhner, L., Forensic Science Institute, BKA, Wiesbaden, D-65173, Germany; Barth, M., Forensic Science Institute, BKA, Wiesbaden, D-65173, Germany; Neimke, D., Forensic Science Institute, BKA, Wiesbaden, D-65173, Germany; Latzel, S., Forensic Science Institute, BKA, Wiesbaden, D-65173, Germany; Stamouli, A., Netherlands Forensic Institute, NFI, Den Haag, GB  NL-2497, Netherlands; Nys, B., National Institute of Criminalistics and Criminology, NICC, Bruxelles, 1120, Belgium; Gunaratnam, L., National Bureau of Investigation, NBI, PL 285, Vantaa, FIN-01301, Finland; Fries, K., Leibnitz-Institut für Neue Materialien, INM, Saarbrücken, D-66123, Germany; Uhlig, S., QuoData Ges. für Qualitätsmanagement und Statistik mbH, Preller Str. 135, Dresden, D-01187, Germany; Baldauf, H., QuoData Ges. für Qualitätsmanagement und Statistik mbH, Preller Str. 135, Dresden, D-01187, Germany","Chemographic coloring; Chromophoric reaction; ENFSI; Firearms; Forensic science; GSR; Gunshot residues; ISO 5725; Lead distribution; Muzzle-to-target distance; Proficiency testing; Shooting distance determination; Sodium rhodizonate; Statistical evaluation; z scores",,Article,"Final",Open Access,Scopus,2-s2.0-85006516048
"Robinson E.M., Brown K., Watkins D.","57193928858;22950063500;22952304100;","Ultraviolet, Infrared, and Fluorescence",2016,"Crime Scene Photography: Third Edition",,,,"365","409",,1,"10.1016/B978-0-12-802764-6.00007-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017540218&doi=10.1016%2fB978-0-12-802764-6.00007-6&partnerID=40&md5=15f184726ebe1a2da58338c7849469ce","Forensic Science Department, The George Washington University, Washington, DC, United States; West Palm Beach Police Department, West Palm Beach, FL, United States; Palm Beach Gardens Police Department, Palm Beach Gardens, FL, United States","Robinson, E.M., Forensic Science Department, The George Washington University, Washington, DC, United States; Brown, K., West Palm Beach Police Department, West Palm Beach, FL, United States; Watkins, D., Palm Beach Gardens Police Department, Palm Beach Gardens, FL, United States","Electromagnetic spectrum; Fluorescence; Infrared light; Luminescence; Reflected ultraviolet imaging system; Ultraviolet light; Visible light",,Book Chapter,"Final",,Scopus,2-s2.0-85017540218
